Date,AAPL,GOOG,MSFT
2025-05-28,200.1927947998047,173.0172119140625,456.609375
2025-05-29,199.72332763671875,172.5980987548828,457.9272155761719
2025-05-30,200.622314453125,172.48831176757812,459.60443115234375
2025-06-02,201.47134399414065,170.01348876953125,461.2118225097656
2025-06-03,203.03956604003903,167.3590850830078,462.2101745605469
2025-06-04,202.590087890625,169.03555297851562,463.1086730957031
2025-06-05,200.40257263183597,169.4546661376953,466.9124145507813
2025-06-06,203.68882751464844,174.55397033691406,469.6080017089844
2025-06-09,201.2216339111328,177.47137451171875,471.97412109375
2025-06-10,202.44024658203125,179.8492431640625,470.1471252441406
2025-06-11,198.55465698242188,178.63034057617188,471.8443298339844
2025-06-12,198.97418212890625,176.8119659423828,478.0840759277344
2025-06-13,196.227294921875,175.7229461669922,474.1804809570313
2025-06-16,198.195068359375,177.78109741210938,478.3536376953125
2025-06-17,195.418212890625,177.0717315673828,477.2554321289063
2025-06-18,196.35714721679688,173.8246307373047,479.4518127441406
2025-06-20,200.7721405029297,167.58021545410156,476.6164855957031
2025-06-23,201.2715759277344,165.86175537109375,485.2023620605469
2025-06-24,200.07293701171875,167.5902099609375,489.30560302734375
2025-06-25,201.33151245117188,171.3368682861328,491.4620666503906
2025-06-26,200.7721405029297,174.27423095703125,496.6335754394531
2025-06-27,200.85205078125,178.11080932617188,495.1260681152344
2025-06-30,204.9374084472656,177.23159790039062,496.5936584472656
2025-07-01,207.58441162109372,176.7520294189453,491.242431640625
2025-07-02,212.1991729736328,179.59947204589844,490.2840270996094
2025-07-03,213.30792236328125,180.38877868652344,498.0213012695313
2025-07-07,209.7119903564453,177.4014434814453,496.9031372070313
2025-07-08,209.7719268798828,175.0035858154297,495.804931640625
2025-07-09,210.9006500244141,177.50135803222656,502.68365478515625
2025-07-10,212.1692047119141,178.54042053222656,500.656982421875
2025-07-11,210.92062377929688,181.1480865478516,502.4939575195313
2025-07-14,208.3834991455078,182.6467437744141,502.1944274902344
2025-07-15,208.8729553222656,182.93649291992188,504.9898376464844
2025-07-16,209.92176818847656,183.60589599609372,504.7901611328125
2025-07-17,209.78192138671875,184.5350646972656,510.8601989746094
2025-07-18,210.9405975341797,185.77395629882807,509.212890625
2025-07-21,212.23912048339844,190.9792938232422,509.2228698730469
2025-07-22,214.15695190429688,191.93844604492188,504.4407348632813
2025-07-23,213.9072265625,191.33897399902344,505.0397644042969
2025-07-24,213.5176696777344,193.0274658203125,510.0415344238281
2025-07-25,213.63754272460935,193.9066925048828,512.866943359375
2025-07-28,213.80735778808597,193.2472686767578,511.6588745117188
2025-07-29,211.03050231933597,196.25457763671875,511.728759765625
2025-07-30,208.81301879882807,197.26368713378903,512.3976440429688
2025-07-31,207.33470153808597,192.68777465820312,532.6243896484375
2025-08-01,202.1505889892578,189.7803649902344,523.2498168945312
2025-08-04,203.11949157714844,195.5751953125,534.7609252929688
2025-08-05,202.68995666503903,195.1455841064453,526.8838500976562
2025-08-06,213.0082550048828,196.74415588378903,524.0784912109375
2025-08-07,219.7805633544922,197.10382080078125,519.9852294921875
2025-08-08,229.0900115966797,201.90953063964844,521.1832275390625
2025-08-11,227.17999267578125,201.449951171875,520.9136962890625
2025-08-12,229.6499938964844,203.97769165039065,528.3713989257812
2025-08-13,233.3300018310547,202.84869384765625,519.7256469726562
2025-08-14,232.77999877929688,203.63800048828125,521.6224975585938
2025-08-15,231.58999633789065,204.72702026367188,519.3162841796875
2025-08-18,230.88999938964844,204.1075592041016,516.2512817382812
2025-08-19,230.55999755859372,202.30918884277344,508.933349609375
2025-08-20,226.00999450683597,200.01123046875,504.8900146484375
2025-08-21,224.8999938964844,200.4408416748047,504.239990234375
2025-08-22,227.75999450683597,206.535400390625,507.2300109863281
2025-08-25,227.16000366210935,208.9732208251953,504.260009765625
2025-08-26,229.30999755859372,207.7642974853516,502.0400085449219
2025-08-27,230.4900054931641,208.02407836914065,506.739990234375
2025-08-28,232.55999755859372,212.1803436279297,509.6400146484375
2025-08-29,232.13999938964844,213.3393096923828,506.6900024414063
2025-09-02,229.72000122070312,211.8007049560547,505.1199951171875
2025-09-03,238.47000122070312,230.8936309814453,505.3500061035156
2025-09-04,239.77999877929688,232.4522399902344,507.9700012207031
2025-09-05,239.69000244140625,234.95999145507807,495.0
2025-09-08,237.8800048828125,234.16000366210935,498.2000122070313
2025-09-09,234.3500061035156,239.94000244140625,498.4100036621094
2025-09-10,226.7899932861328,239.55999755859372,500.3699951171875
2025-09-11,230.02999877929688,240.77999877929688,501.010009765625
2025-09-12,234.07000732421875,241.3800048828125,509.8999938964844
2025-09-15,236.6999969482422,251.75999450683597,515.3599853515625
2025-09-16,238.1499938964844,251.4199981689453,509.0400085449219
2025-09-17,238.9900054931641,249.8500061035156,510.0199890136719
2025-09-18,237.8800048828125,252.3300018310547,508.4500122070313
2025-09-19,245.5,255.2400054931641,517.9299926757812
2025-09-22,256.0799865722656,252.8800048828125,514.4500122070312
2025-09-23,254.42999267578125,252.33999633789065,509.2300109863281
2025-09-24,252.30999755859372,247.8300018310547,510.1499938964844
2025-09-25,256.8699951171875,246.57000732421875,507.0299987792969
2025-09-26,255.4600067138672,247.17999267578125,511.4599914550781
2025-09-29,254.42999267578125,244.3600006103516,514.5999755859375
2025-09-30,254.6300048828125,243.5500030517578,517.9500122070312
