Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2024-11-18,227.2134246826172,176.02957153320312,412.66192626953125,228.9273417095955,176.13909280002633,415.282238255226,224.37349996104592,173.65993786500817,409.0291955453545,224.4532188000698,174.19261017148003,411.778543667536,44633700,18662800,24727000
2024-11-19,227.47247314453125,178.79745483398438,414.67681884765625,229.3458276324582,179.38488017366925,414.82569505476647,225.8582086546099,174.35290289168816,408.48329602030253,226.17706876893948,174.4713876127403,410.03166915459735,36211800,15392900,18133500
2024-11-20,228.18995666503906,176.55726623535156,412.3939208984375,229.1166596710885,178.32950846808063,414.18052617467214,225.09095708205055,174.56598146219105,407.52050466835993,227.25327930098,178.05072981522193,413.76364252316546,35169600,15729800,19191700
2024-11-21,227.71165466308594,168.5025177001953,410.61370849609375,229.3458528412815,174.8148865873952,417.48594978990576,224.91159698015457,164.58963534340768,408.047821251109,228.07038183414417,174.69043129296793,417.2074811714516,42108300,38839400,20780200
2024-11-22,229.05685424804688,165.84414672851562,414.7211608886719,229.9038535446,167.53175254254214,415.11896888171356,227.2532593649619,164.98789373494913,408.81361962204943,227.2532593649619,166.43157204476697,409.1219230929671,38168300,24497000,24814600
2024-11-25,232.04624938964844,168.69168090820312,416.5013732910156,232.42491005721112,169.7172065350398,418.778836873561,228.92733167542056,166.6705280950971,412.58290247238904,230.64124862727573,167.257968644597,416.09361024787086,90152800,21395700,27691100
2024-11-26,234.228515625,169.87649536132812,425.6510925292969,234.73672132395913,170.74768243022393,426.69537265560376,232.50463944229026,168.6916785168623,416.5610569682543,232.50463944229026,168.75142982025878,417.29700327286355,45986200,14937500,23458900
2024-11-27,234.0989532470703,170.0756378173828,420.67840576171875,234.85627456038557,170.39423547744005,424.8952553598379,232.98291999142185,168.93063997056893,419.71370546967114,233.6405889619916,169.9362333002551,422.78681538537654,33498400,12433400,18332400
2024-11-29,236.49049377441406,169.74708557128906,421.1458435058594,236.96879161176938,170.12541936885526,422.55809676444443,233.14237850329877,168.0146622512929,415.51677094971404,233.97940351987407,169.31895142081672,417.7942649272981,28481400,9250700,16271900
2024-12-02,238.7424774169922,172.22622680664062,428.624755859375,239.93822952974793,172.84353545661656,430.63370587040276,236.32108052902282,169.5280442738957,419.0075879189551,236.4306920263062,169.57782943487248,419.26617676175783,48137100,16593400,20207200
2024-12-03,241.79165649414062,172.26605224609375,428.8435363769531,241.90126799408412,173.56039040413435,430.10658499561004,238.05492154808562,171.75826489918776,425.4024231657053,238.96170621081686,172.3656073706831,427.4909528928622,38861000,15721500,18302000
2024-12-04,242.150390625,175.32264709472656,435.0295715332031,243.2465056559754,175.66116182697243,437.2672755840065,240.3966217802532,171.99720549427335,430.26573974460115,242.01088645785893,172.02707354757175,430.6635477279166,44383900,18239800,26009400
2024-12-05,242.18028259277344,173.5504150390625,440.2011413574219,243.67497660990782,176.9356081335433,442.2300015529848,241.27351311137042,173.2517192965647,433.7864078777922,243.1269343008096,176.54730822598512,435.5268443828614,40033900,16145500,21697800
2024-12-06,241.98098754882812,175.72093200683594,441.1459655761719,243.7646642163996,176.06841023086653,443.66213830194334,241.22368140458013,172.7937409307028,439.35578408835863,242.05074723300527,173.1223047445848,439.8828865059849,36870600,13319500,18821000
2024-12-09,245.8771514892578,176.5283203125,443.5825500488281,246.36542364679892,177.4652731794903,445.8799237829371,240.89483838917155,174.83379581179184,438.09272702914495,240.97455722335047,175.14778141291757,440.1812568830996,44649200,19887800,19144400
2024-12-10,246.89353942871094,185.92787170410156,440.9072570800781,247.33198539974384,187.4230296378457,447.16289170564096,244.4721274358929,182.08033134621863,439.1867306857862,246.01664748664516,183.9393165192724,441.96149226752044,36914800,34317400,18469500
